Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
68.40661905;3.6972;11.65837309;0.793757849;0.860982684;31.456;84;7.15;7;Guinea Corn;2
68.3215;14.5236;11.23537749;0.889568871;0.935587339;150.248;140;0;3;Corsicana Marl;1
68.3215;7.5519;10.33381342;0.793204264;0.871723093;67.17;113;0;1;Escondido;1
68.3215;28.338;7.522214154;0.797090388;0.880239539;204.028;113;0;5;Prairie Bluff;2
68.3215;6.3298;11.94674204;0.874730072;0.924099882;62.876;53;0;5;Moreno;2
68.3215;19.0585;8.769108062;0.791149114;0.870439451;157.172;32;0;5;Peedee;3
68.3215;31.3384;7.199827709;0.785962438;0.874541836;217.038;103;0;3;Providence;1
68.3215;6.0135;6.714743119;0.711596784;0.79498961;33.48;33;0;5;Jaguel;2
68.3215;7.1184;7.310376141;0.805717513;0.877740032;44.118;39;0;1;Lefip?;1
68.3215;9.3774;6.453040681;0.792062359;0.863773953;53.202;48;0;6;Roca;3
68.3215;4.2365;7.629401929;0.66688129;0.765723441;24.668;40;0;4;Ciply-Malogne Phosphatic Chalk;1
63.8715;5.0075;14.01783587;0.893166903;0.934954497;55.748;64;0;4;Clayton;3
63.8715;8.1855;4.234810978;0.48198924;0.633565339;30.304;60;0;1;Jag?l;1
63.8715;6.2187;5.276972075;0.651168209;0.766641184;27.496;34;0;1;Lefip?;1
63.81594444;7.9499;14.25806113;0.948292497;0.968472698;96.55;108;1.5;6;Kincaid;2
63.7793125;5.8105;8.266660983;0.784231344;0.864820028;39.646;32;2.95;4;Sobral;3
62.409;5.8254;15.81947128;0.935157067;0.961190001;75.122;40;1.5;3;Wills Point;3
61.44756364;10.1336;10.18608756;0.897026734;0.937875668;91.418;55;3.6715;7;Porters Creek;3
57.25;7.389;10.15573594;0.851446116;0.905741188;63.874;44;0;5;Aquia;4
57.25;16.1675;8.05006535;0.827752252;0.896237295;121.078;35;0;6;Tuscahoma;3
52.2;15.3902;10.45383739;0.860176372;0.91628628;149.414;66;0;6;Hatchetigbee Bluff;2
50.92833333;8.809;11.10684361;0.891256041;0.932824012;84.966;30;7.7;4;Nanjemoy;3
47.684;10.5028;9.812690752;0.873524602;0.924597376;92.728;25;5.2;4;Tallahatta;1
42.83333333;15.4615;8.534926177;0.881473985;0.924727506;120.922;39;16.65;6;La Meseta;3
42.48823529;31.4064;8.754554345;0.86832624;0.921072935;263.278;51;5.7;4;Lisbon;3
40.2440678;7.3333;13.94030025;0.90455677;0.939911838;86.598;59;5.7;8;Castle Hayne;3
40.12777778;14.4751;11.02271759;0.917414621;0.949571844;147.086;27;8.95;8;Santee;4
39.3488;17.7372;9.754108203;0.900138002;0.93976564;160.206;125;5.7;9;Moodys Branch;3
39.29769231;13.9766;14.62125748;0.964612546;0.980003346;183.562;130;13.4;7;Cook Mountain;4
38.8;36.0336;6.505861967;0.804493395;0.866551871;229.968;28;0;7;Gosport;2
35.58404255;11.5106;5.243124604;0.735144917;0.835792652;54.366;47;1.6;3;Eugene;2
35.55;7.817;6.361223646;0.770879437;0.851919013;43.048;27;0;2;San Emigdio;2
35.55;10.104;13.29925654;0.911291742;0.945460318;120.414;36;0;6;Yazoo;3
35.55;3.8108;8.911331079;0.816530743;0.880613964;24.794;29;0;2;Wilson Bluff;2
31.15;12.1033;14.0829116;0.862898259;0.916728992;156.796;25;0;6;Suwannee Limestone;2
31.15;4.2817;7.190320833;0.763889876;0.841681491;23.484;28;0;1;Waita;2
30.70632653;31.4766;5.368505053;0.668469242;0.769409235;163.994;49;5.435;6;Byram;3
28.60234375;9.8308;5.268585743;0.73023749;0.828058106;46.074;32;5.435;1;Pittsburg;2
24.07182857;17.8458;13.73889212;0.935498378;0.964182144;231.628;35;4.915;4;Arcadia;2
20.8322;13.6209;8.321878088;0.829804954;0.900220086;104.696;25;6.215;5;Vaqueros;2
20.55833333;12.673;11.95825155;0.927633658;0.95893053;138.172;48;2.1;4;Culebra;2
19.5;9.726;10.99945639;0.894010764;0.939088751;94.31;45;0;2;Kirkwood;1
19.5;35.4401;11.36033734;0.938401863;0.964250042;385.888;25;0;5;Pirabas;2
18.2;32.2055;10.57716504;0.877229189;0.924377909;327.404;81;0;7;Chipola;2
17.91639344;10.752;8.833039931;0.829952973;0.898573875;85.026;61;2.4;2;Jimol;4
17.319;6.5442;9.63189046;0.809173024;0.885386447;53.288;24;0;1;Narrrow Cape Formaton;1
17.03213462;8.1448;11.74907043;0.864050427;0.919784703;83.622;52;11.926;3;Temblor;2
15.65027778;11.0445;8.616427421;0.799843634;0.878627021;85.35;108;3.4;2;Castilletes;3
15.00348276;15.1548;12.41095778;0.901714088;0.940950777;176.63;29;6.871;10;Calvert;4
13.789;10.5154;8.099101664;0.820635121;0.888637952;76.294;34;0;1;Astoria;1
13.74438462;11.0579;12.98529062;0.821157896;0.881056097;132.204;26;1.16;3;Nyalindung;2
13.3512963;21.4798;7.082999581;0.734006806;0.832590869;144.778;27;1.16;6;Choptank;3
12.4;44.7615;9.023021337;0.822690776;0.896741273;398.394;37;0;5;Shoal River;2
10.52137245;26.5691;10.72000821;NA;NA;271.106;196;3;20;Gatun;2
9.427;7.7156;9.617466222;0.886021894;0.93342561;63.908;31;0;1;Tachilni;1
8.640133333;3.6742;10.78261823;0.733262545;0.815596783;28.708;45;0.957;3;Puerto Madryn;2
7.604;5.5226;6.490599078;NA;NA;29.104;28;0;1;Sisquoc;1
7.521678161;18.1123;10.79723531;0.849462715;0.907756489;187.03;87;3.827;8;Cercado;4
6.508375;6.9335;19.13935275;0.926512935;0.9450426;111.542;40;1.5;4;Chagres Sandstone;3
5.770782609;2.6755;18.80609204;0.917094035;0.941492401;30.978;46;5.376;12;Pisco;1
5.692514706;20.8646;10.53157658;0.893608042;0.939180634;207.1;136;3.5;12;Gurabo;4
5.271583333;9.8947;14.58911124;0.96143699;0.978410706;126.9;48;5.376;5;Tubarÿ;1
3.753970588;14.5539;11.77277847;NA;NA;156.486;68;1.556;17;Yorktown;4
3.644;24.958;9.801015687;0.89187822;0.929142623;233.442;25;0.8;3;Cayo Agua;2
3.348611111;11.4266;17.79535595;0.948350828;0.965201904;185.902;72;1.372;15;Tamiami;4
2.9;17.9806;12.02462298;0.906764151;0.934711649;202.082;26;0;6;Rio Banano;2
1.6845;11.436;7.422024653;0.822809007;0.893485726;76.842;28;0;1;Toukoshan;1
1.669814516;29.5177;14.30834239;0.924157723;0.94989813;404.096;62;0.8905;9;Caloosahatchee;4
1.66912;31.4582;10.85177062;0.892714079;0.936774468;329.41;25;0.3845;6;Waccamaw;2
0.069;21.5599;8.16733347;0.814621545;0.886766441;166.648;32;0;3;Pamlico;2
