Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
446.6;5.1684;4.754330218;0.534930468;0.674698836;19.754;59;0;1;Sunset;2
446.6;5.3669;8.756537043;0.645062162;0.758201682;40.654;73;0;5;Whitewater;2
445.3192308;1.6167;25.24866633;0.806615088;0.825448246;15.406;26;2.9;5;Aerina;2
444.65;3.7397;10.65893525;0.842019113;0.896135971;28.916;54;0;4;Kuldiga;1
444.6153846;4.8079;9.922989013;0.844784265;0.893308247;36.93;104;7.75;6;Ellis Bay;3
442.4449275;5.4068;18.46873833;0.963088318;0.97632822;81.198;69;10.65;9;White Head;3
441.21875;3.4573;14.15924815;0.869276043;0.902599626;34.204;48;7.75;6;Becscie;2
438.3651515;9.0255;8.432511208;0.785445932;0.862797411;67.402;33;5.4;6;Solvik;2
437.7125;2.5635;13.55741898;0.746704687;0.802000952;21.268;48;3.9;6;Gun River;2
435.95;4.0643;6.814631102;0.734120923;0.823249097;20.798;37;0;1;Ross Brook;1
435.95;6.0218;10.25921803;0.548103563;0.679918018;55.872;30;0;1;Ross Point;1
435.1857143;3.4151;16.29385096;0.890392732;0.920373582;38.514;35;15.8;4;Laketown Dolomite;2
434.6691057;4.5963;14.48321635;0.852816797;0.897019242;51.634;123;5.4;10;Jupiter;4
433.790625;9.2457;13.08298411;0.933425322;0.954666718;107.464;32;19.1;5;Whittaker;3
429.534;15.2894;8.459843538;0.851373562;0.911698948;120.518;25;7.75;2;Scotch Grove;1
426.0095238;18.1707;8.467438305;0.793317642;0.865037499;145.47;42;7.75;6;Rochester;3
425.9365385;17.9888;12.41678473;0.916692953;0.951766119;210.746;26;7.55;4;Motol;1
425.9;10.1698;14.6854829;0.931505957;0.949913194;128.418;44;2.65;8;Cape Phillips;2
421.006383;19.0074;16.60771661;0.970677087;0.983076695;297.784;47;2.1;11;Kopanina;4
420;9.3328;4.727990642;0.472799407;0.629762166;39.342;28;0;1;Overton;1
419.2516667;20.7128;5.494396805;0.593998371;0.714389476;109.14;30;4.75;3;Henryhouse;2
419.0482143;3.9838;9.507385217;0.77670552;0.847343528;28.254;28;3.45;4;Tonoloway;4
412.75;7.5014;12.24785574;0.846163254;0.906810401;80.478;27;10.2;4;Mount Ida;2
410.9837209;4.3748;8.597360975;0.781341722;0.857569601;28.866;43;3.45;2;Saint-Cenere;1
410.8967742;5.8565;15.95495647;0.724454605;0.766445483;77.658;62;3.45;5;Garra;2
405.2564103;7.9752;9.818118563;0.873349287;0.919618386;67.854;39;5.3;4;Yujiang;4
400.5;9.5863;10.75994119;0.899843785;0.938132996;92.21;29;0;3;McColley Canyon;1
397.4866667;4.6875;13.86694819;0.904230671;0.94194695;51.054;30;8.6;2;Ertang;1
397.168;3.6314;3.315468525;0.326419971;0.458961353;8.712;25;7.4;1;upper part;1
394.0965517;3.7592;11.69750832;0.752959554;0.842719823;32.19;29;14.6;4;Bird Fiord;1
390;7.5019;12.97888862;0.889046181;0.930843381;83.71;41;0;3;Denay Limestone;4
390;11.442;8.626828276;0.805032404;0.876272282;89.224;66;0;6;Onondaga;4
386.7333333;9.2603;12.24782395;0.880351399;0.913671124;99.086;30;4.1;7;Marcellus;4
386.0891775;9.7126;11.6693206;0.870584474;0.907665641;99.97;231;1.9;15;Ludlowville;4
386.0701493;9.6424;9.869596985;0.882886423;0.926425126;84.686;134;1.9;8;Skaneateles;4
385.9;6.6422;9.306362636;0.838076798;0.897023669;51.384;203;0;7;Geneseo;3
385.9;9.8082;13.11929508;0.921884943;0.950733945;114.344;27;0;4;Little Cedar;2
385.9;10.0004;11.79208998;0.881417921;0.930318291;106.122;54;0;2;Mahantango;3
385.9;8.97;10.88306465;0.840752997;0.89754994;85.348;288;0;18;Moscow;3
385.9;19.2428;6.910621998;0.798373252;0.866489562;125.352;27;0;1;Silica;1
385.9;8.4864;11.32491024;0.876320432;0.921462871;83.412;76;0;7;Tully;2
385.9;5.816;11.62537394;0.834969361;0.889896991;56.084;26;0;4;Kowala;3
381.3270833;5.7366;12.76720916;0.904698898;0.938621714;60.454;24;5.25;7;Kowala;4
380.026;5.6263;11.70304644;0.888364351;0.931372547;53.688;25;3.15;3;Shell Rock;2
379.9;3.6677;16.58476794;0.924770415;0.953747009;43.93;71;0;4;Chemung;1
379.9;6.7529;6.356919219;0.736861742;0.834815647;36.216;63;0;1;Glen Aubrey;2
379.9;3.4824;11.72443258;0.872234502;0.918319305;28.728;31;0;3;Ithaca;1
379.9;12.3322;9.992309348;0.869189024;0.921908278;112.708;40;0;5;Lime Creek;1
379.9;3.1524;5.666708713;0.683817464;0.778009337;12.022;29;0;2;Sly Gap;1
379.9;6.6462;6.645446566;0.716768622;0.818099176;37.224;60;0;1;Triangle;2
379.9;12.6108;1.899786591;0.263725296;0.375034669;22.05;24;0;2;Waterways;1
379.9;3.1763;8.608950775;0.704903921;0.794533441;18.552;44;0;1;Frasnian moyen;1
368.2144068;6.7507;11.70075851;0.860805848;0.91516075;67.03;59;5.7;4;Three Forks;3
361.2615385;7.8738;17.23755197;0.950377179;0.971148742;118.57;26;15.4;3;Pilton;2
358.2872093;5.0025;9.494153113;0.817870928;0.878158346;37.71;43;11.15;6;Sappington;5
353.1370968;6.6638;11.3423578;0.885260996;0.927582167;64.906;93;4.25;3;Banff;2
346.4267241;13.8132;6.608424873;0.774803743;0.83365677;83.75;58;5.35;5;Fort Payne;2
344.1589744;13.7563;6.011265686;0.774702048;0.852813186;76.198;39;4.25;2;Muldraugh;2
343.9;3.64;4.788695555;0.597749883;0.715021821;12.556;35;0;1;High Tor Limestone;2
331.2;5.5702;6.320104101;0.719344206;0.813749461;28.486;117;0;1;Second Abden Shale;1
331.1554545;15.7291;3.671337185;0.533200509;0.673210965;53.832;55;2.45;2;Bangor Limestone;2
327.1107143;6.761;8.565128919;0.692140132;0.800387846;49.43;28;1.7;2;Golconda;1
323.397449;6.212;15.58465839;0.941101716;0.964064199;81.006;49;13.975;3;Amsden;3
322.4741379;9.0299;7.512394563;0.801139526;0.878589016;59.742;29;6.5;2;Glen Dean Limestone;2
316.1925;6.4559;9.585999006;0.844500984;0.90604335;52.092;30;1.575;1;Watahomigi;2
304.6664063;4.3773;6.234543675;0.688370753;0.791769855;20.848;64;0.525;2;Winchell;1
301.15;10.4126;9.701613331;0.862891212;0.919200198;90.426;41;0;2;Gaptank;2
300.5888889;4.9578;13.84674198;0.924185134;0.95550545;54.552;27;1.5;3;Stotler;2
300.5611111;5.7675;9.210848666;0.814412211;0.883531005;43.448;54;1.5;2;Wood Siding;3
300.4916667;5.4173;10.63942116;0.84998846;0.908095951;46.574;36;1.5;2;Janesville Shale;3
300.2230263;6.0578;10.42677159;0.858313601;0.914180183;51.99;152;1.95;7;Foraker;4
299.2;9.3403;6.862015226;0.763435611;0.85415784;56.572;46;0;2;Graham;1
297.2430233;17.2916;9.480521108;0.909052906;0.944773958;150.918;43;4.2;3;Neal Ranch;3
297.215;5.3064;11.94716623;0.894716482;0.936438114;51.176;30;4.2;4;Red Eagle;3
296.95;6.7249;9.292300514;0.722266746;0.818046581;53.134;26;0;4;Beattie;3
296.95;3.9139;15.59260322;0.924033841;0.953222985;45.004;76;0;3;Grenola;3
295.4488636;9.4835;5.958368529;0.707782266;0.804328257;50.53;44;9.7;8;Copacabana;3
293.0791667;2.1321;23.66145735;0.937578145;0.955835439;26.738;24;4.4;1;Ol'chan;1
292.55;3.7882;9.856912543;0.829361825;0.881507386;27.078;39;0;6;Saiwan;3
292.3;5.9784;12.06908039;0.913317853;0.938675805;58.134;93;7.75;20;Callytharra;3
291.0837838;1.9739;31.1898518;0.969640435;0.97730891;29.664;37;7.75;3;Echii;1
291.063141;6.2894;12.06673627;0.906603971;0.94522293;62.458;78;20.375;5;Jungle Creek;1
289.0384615;6.2899;16.53345348;0.934070481;0.952987677;85.17;78;12.15;10;Hueco;3
287.9;8.2418;12.1073846;0.904018038;0.943854305;87.024;30;7.75;4;Lenox Hills;3
284.8;12.8897;9.698037228;0.874112752;0.927820165;114.066;50;0;3;Skinner Ranch;4
284.8;4.5799;10.44805927;0.893835892;0.931055208;37.238;32;0;1;Keziliqiman;1
284.8;6.7209;11.88175519;0.903201974;0.937885433;66.524;133;0;10;Buffel;3
284.8;3.948;12.21989241;0.829155909;0.886413053;35.716;40;0;8;Cattle Creek;3
284.8;4.2405;11.3710959;0.837526434;0.893369773;37.246;44;0;9;Tiverton;3
276;13.3929;13.7041373;0.955458314;0.974079203;165.358;79;0;11;Bone Spring;3
276;20.6558;10.21115459;0.899011352;0.940866677;196.08;106;0;5;Cathedral Mountain;4
276;6.6004;8.21265653;0.817246912;0.889422194;45.37;48;0;1;Coyote Butte;1
276;8.1888;7.158478429;0.792747223;0.858824921;50.99;45;0;5;Loray;3
276;11.5643;12.33842988;0.916515818;0.95199771;128.514;69;0;2;Skinner Ranch;3
276;3.2655;22.57888837;0.955545162;0.967823563;50.862;25;0;5;Talata;1
276;4.5926;21.86261801;0.984150683;0.990515624;77.704;34;0;16;Qixia;2
276;2.1534;25.5396537;0.953472046;0.965489478;28.868;38;0;20;Wandagee;2
274.6309524;4.6347;15.38451931;0.848428294;0.897421308;55.81;84;5.75;10;Kaibab;3
271.4466667;31.9416;9.248377982;0.886802211;0.934244999;281.278;75;5.75;4;Road Canyon;4
270.25;2.357;22.11149849;0.841697358;0.868824531;29.538;51;0;10;Kazan;2
270.25;4.336;6.085826759;0.637541315;0.752788927;20.19;29;0;2;Gymnocodiacean limestone;1
270.25;3.9556;7.328469902;0.720350132;0.79575286;21.552;25;0;7;Oxtrack;3
270.2016129;17.3712;6.984193066;0.820318334;0.881496958;113.818;31;1.5;5;Rat Buri;3
270.1013514;7.1106;14.13782425;0.910004695;0.944967854;85.274;37;9.5;6;Phosphoria;2
269;6.631;16.70643175;0.960645537;0.97551821;92.456;38;9.5;7;Park City;2
268.6181319;22.4671;9.713775966;0.893182137;0.935966813;203.492;91;3.75;8;Word;3
267.8095238;5.9919;11.07644911;0.851882839;0.909506703;54.848;63;3.75;3;Takhandit;1
267.475;4.6744;16.02080118;0.884974598;0.925084081;58.5;30;3.75;9;Maokou;2
267.4642857;3.2157;13.1201523;0.883402881;0.926069723;28.746;28;2.25;8;Barfield;2
266.7727273;3.9536;15.76536452;0.894690112;0.92288874;45.72;55;3.75;11;Blenheim;2
266.5;8.0739;9.110545858;0.787393907;0.86678683;64.518;26;0;1;Antimonio;1
266.5;7.5446;12.00802179;0.877989977;0.926704343;77.504;99;0;9;Amb;2
266.5;3.287;10.56673113;0.81406474;0.875876008;23.878;79;0;4;Khuff;3
266.5;6.0684;12.15334861;0.899988784;0.938574928;60.832;29;0;5;Gnishik;2
266.5;3.7988;9.815415199;0.705819343;0.794723761;27.328;35;0;7;Ingelara;4
262;24.2395;6.365891381;0.807023646;0.88178957;146.52;46;0;4;Bell Canyon;4
262;11.4064;10.60024546;0.872294428;0.924249779;110.404;36;0;6;Capitan;4
262;6.0756;5.887180922;0.651787529;0.769136362;29.566;131;0;1;Gerster;1
262;4.1425;19.20330739;0.940752042;0.960229724;60.33;29;0;6;Chandalaz;1
262;8.3651;6.920701442;0.779906793;0.860603447;50.31;57;0;9;Flat Top;2
262;2.4963;8.751322046;0.229259098;0.274853684;13.846;30;0;6;Peawaddy;3
261.4358974;3.319;16.53456518;0.915104583;0.943313664;37.95;39;5.5;4;Khachik;2
260.975;3.273;11.77493016;0.851414522;0.902913626;26.556;28;8.85;2;Pamucak;2
256.9714286;15.3592;11.14055229;0.917122209;0.9494559;153.808;245;5.5;15;Wargal;3
256.5;4.6416;11.37288826;0.884769395;0.928552294;40.252;93;0;3;Wegener Halvo;2
256.5;4.0357;10.46412068;0.855898914;0.907491477;31.426;51;0;1;Naujoji Akmen‚;1
256.5;7.5096;8.46445797;0.829115352;0.89193307;53.368;86;0;15;Ford;3
256.5;5.7739;11.48424936;0.847871759;0.904801518;54.788;74;0;7;Julfa;2
255.9745098;7.4003;15.92258768;0.956276907;0.973475776;100.014;153;3.35;30;Longtan;3
255.2657895;9.3498;15.18062304;0.959163983;0.975167233;125.628;38;3.35;12;Heshan;3
254.8675862;13.5148;11.46756157;0.898784968;0.940197944;141.51;145;3.35;13;Chhidru;2
254.1166667;4.3097;11.53398763;0.865898383;0.914790758;37.804;45;3.35;4;Nesen;1
253.3994681;5.8957;17.38557652;0.936220753;0.955453111;83.83;94;3.35;22;Dalong;4
253.2917323;8.3909;16.359012;0.956046332;0.974302038;118.412;254;3.35;36;Changxing;5
253.15;5.0182;13.90014334;0.899474666;0.9354762;54.538;135;0;8;Senja;2
253.15;4.6894;16.71447215;0.941829923;0.965356395;61.502;36;0;5;Yanshi;1
